Time,Motor,CF,IF,Brake,E,Mean,Skewness,MAD,SF,Distance,SAD,P2P,Var,Kurtosis,Safety,Door,Resv-1,Resv-2,Resv-3,FFT-Motor Freq,FFT-Motor Mag,FFT-Resv1 Freq,FFT-Resv1 Mag,FFT-Resv2 Freq,FFT-Resv2 Mag,door,workMode,vibration_y,openCloseDoorNum,floor,cumulativeRunNum,vibration_z,vibration_x,velocity,motion,mileage
2024-04-19 20:58:57:900,0.30518509,2.0,1000.0,0.0537125732,90.0,12.0,0.0,312.0,78.0,0.0,90.0,874.0,418.0,534.0,0.0534073911,0.5102694454,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:57:950,0.3173924936,2.0,1000.0,0.0537125732,94.0,12.0,1.0,248.0,78.0,0.0,94.0,878.0,419.0,380.0,0.0534073911,0.5114901857,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:000,0.29908138819999996,2.0,1000.0,0.0537125732,84.0,12.0,0.0,288.0,78.0,0.0,84.0,879.0,419.0,413.0,0.0534073911,0.5114901857,0.29908138819999996,0.29908138819999996,0.0076296273,0.78,0.4760887478255532,0.77,0.46998504593035384,0.42,30.396435438093015,,,,,,,,,,,
2024-04-19 20:58:58:050,0.3173924936,2.0,1000.0,0.0537125732,87.0,12.0,1.0,214.0,78.0,0.0,87.0,882.0,420.0,337.0,0.0534073911,0.512710926,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:100,0.29908138819999996,2.0,1000.0,0.0537125732,80.0,11.0,0.0,254.0,78.0,0.0,80.0,882.0,420.0,474.0,0.0534073911,0.512710926,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:150,0.3173924936,2.0,1000.0,0.0537125732,85.0,11.0,1.0,210.0,77.0,0.0,85.0,884.0,420.0,416.0,0.0534073911,0.512710926,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:200,0.29908138819999996,2.0,1000.0,0.0537125732,77.0,11.0,0.0,261.0,77.0,0.0,77.0,882.0,420.0,586.0,0.0534073911,0.512710926,0.29908138819999996,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:250,0.3173924936,2.0,1000.0,0.0537125732,88.0,11.0,1.0,189.0,77.0,0.0,88.0,887.0,421.0,280.0,0.0534073911,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:300,0.29908138819999996,2.0,1000.0,0.0537125732,73.0,11.0,0.0,260.0,77.0,0.0,73.0,884.0,420.0,587.0,0.0534073911,0.512710926,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:350,0.3173924936,2.0,1000.0,0.0524918329,82.0,11.0,1.0,198.0,77.0,0.0,82.0,886.0,421.0,430.0,0.0534073911,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:400,0.29908138819999996,2.0,1000.0,0.0537125732,80.0,12.0,0.0,282.0,77.0,0.0,80.0,884.0,420.0,623.0,0.0534073911,0.512710926,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:450,0.3173924936,2.0,1000.0,0.0524918329,91.0,12.0,1.0,224.0,77.0,0.0,91.0,888.0,421.0,508.0,0.0534073911,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:500,0.29908138819999996,2.0,1000.0,0.0537125732,76.0,13.0,0.0,322.0,77.0,0.0,76.0,885.0,420.0,837.0,0.0534073911,0.512710926,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:550,0.3173924936,2.0,1000.0,0.0537125732,89.0,11.0,1.0,214.0,77.0,0.0,89.0,888.0,421.0,573.0,0.0534073911,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:600,0.29908138819999996,2.0,1000.0,0.0537125732,82.0,11.0,0.0,290.0,77.0,0.0,82.0,886.0,421.0,625.0,0.0534073911,0.5139316663,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:650,0.3173924936,2.0,1000.0,0.0537125732,92.0,12.0,1.0,244.0,77.0,0.0,92.0,887.0,421.0,574.0,0.0534073911,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:700,0.29908138819999996,2.0,1000.0,0.0537125732,77.0,11.0,0.0,270.0,77.0,0.0,77.0,886.0,420.0,545.0,0.0534073911,0.512710926,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:750,0.3173924936,2.0,1000.0,0.0524918329,91.0,11.0,1.0,208.0,77.0,0.0,91.0,888.0,421.0,419.0,0.045777763799999996,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:800,0.29908138819999996,2.0,1000.0,0.0524918329,85.0,11.0,0.0,265.0,77.0,0.0,85.0,885.0,420.0,425.0,0.045777763799999996,0.512710926,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:850,0.3173924936,2.0,1000.0,0.0524918329,93.0,12.0,1.0,243.0,77.0,0.0,93.0,888.0,421.0,540.0,0.0534073911,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:900,0.29908138819999996,2.0,1000.0,0.0524918329,79.0,12.0,0.0,302.0,77.0,0.0,79.0,885.0,420.0,595.0,0.0534073911,0.512710926,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:58:950,0.3173924936,2.0,1000.0,0.0524918329,93.0,12.0,1.0,232.0,77.0,0.0,93.0,888.0,421.0,404.0,0.0534073911,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:000,0.29908138819999996,2.0,1000.0,0.0537125732,88.0,12.0,0.0,279.0,77.0,0.0,88.0,886.0,421.0,551.0,0.0534073911,0.5139316663,0.2929776864,0.29908138819999996,0.0076296273,0.77,0.46998504593035384,1.18,0.7263405255287286,0.42,30.396435438093015,5.0,1.0,0.001614090520888567,32567.0,16.0,31680.0,0.03602520376443863,0.02483784407377243,0.0,0.0,1418936.5
2024-04-19 20:58:59:050,0.3173924936,2.0,1000.0,0.0537125732,96.0,12.0,1.0,237.0,77.0,0.0,96.0,888.0,421.0,388.0,0.0534073911,0.5139316663,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:100,0.29908138819999996,68.0,1018.0,0.0524918329,318.0,157.0,513.0,119.0,88.0,0.0,318.0,689.0,364.0,0.0,0.0534073911,0.4528946513,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:150,0.3173924936,2.0,1000.0,0.0524918329,124.0,12.0,0.0,235.0,77.0,0.0,124.0,886.0,420.0,383.0,0.0534073911,0.512710926,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:200,0.29908138819999996,2.0,1000.0,0.0537125732,89.0,12.0,0.0,276.0,77.0,0.0,89.0,885.0,420.0,234.0,0.0534073911,0.512710926,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:250,0.3173924936,69.0,1019.0,0.0537125732,224.0,158.0,523.0,119.0,88.0,0.0,224.0,692.0,365.0,0.0,0.0534073911,0.4541153916,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:300,0.29908138819999996,1.0,1000.0,0.0524918329,41.0,6.0,0.0,260.0,119.0,0.0,41.0,378.0,274.0,98.0,0.0534073911,0.3344828422,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:350,0.3173924936,1.0,1000.0,0.0524918329,44.0,6.0,0.0,274.0,118.0,0.0,44.0,379.0,275.0,0.0,0.0534073911,0.3357035825,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:400,0.29908138819999996,1.0,1000.0,0.0537125732,42.0,6.0,0.0,253.0,119.0,0.0,42.0,378.0,275.0,0.0,0.0534073911,0.3357035825,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:450,0.32349619539999996,1.0,1000.0,0.0524918329,46.0,8.0,0.0,291.0,119.0,0.0,46.0,379.0,275.0,0.0,0.0534073911,0.3357035825,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:500,0.29908138819999996,1.0,1000.0,0.0524918329,42.0,6.0,0.0,224.0,119.0,0.0,42.0,378.0,274.0,0.0,0.0534073911,0.3344828422,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:550,0.3173924936,1.0,1000.0,0.0524918329,51.0,6.0,0.0,217.0,118.0,0.0,51.0,379.0,275.0,0.0,0.0534073911,0.3357035825,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:600,0.29908138819999996,1.0,1000.0,0.0524918329,41.0,7.0,0.0,286.0,119.0,0.0,41.0,378.0,275.0,238.0,0.0534073911,0.3357035825,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:650,0.3173924936,1.0,1000.0,0.0537125732,47.0,7.0,0.0,221.0,119.0,0.0,47.0,378.0,275.0,0.0,0.0534073911,0.3357035825,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:700,0.29908138819999996,1.0,1000.0,0.0537125732,47.0,6.0,0.0,248.0,119.0,0.0,47.0,377.0,274.0,155.0,0.0534073911,0.3344828422,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:750,0.3173924936,1.0,1000.0,0.0524918329,45.0,7.0,0.0,242.0,119.0,0.0,45.0,378.0,275.0,122.0,0.0534073911,0.3357035825,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:800,0.29908138819999996,1.0,1000.0,0.0524918329,50.0,7.0,0.0,227.0,119.0,0.0,50.0,377.0,274.0,0.0,0.0534073911,0.3344828422,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:850,0.3173924936,1.0,1000.0,0.0524918329,39.0,7.0,0.0,240.0,118.0,0.0,39.0,379.0,275.0,0.0,0.0534073911,0.3357035825,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:900,0.29908138819999996,1.0,1000.0,0.0524918329,47.0,6.0,0.0,224.0,119.0,0.0,47.0,378.0,275.0,0.0,0.0534073911,0.3357035825,0.2929776864,0.29908138819999996,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:58:59:950,0.32349619539999996,1.0,1000.0,0.0524918329,46.0,7.0,0.0,250.0,118.0,0.0,46.0,380.0,275.0,0.0,0.0534073911,0.3357035825,0.3112887918,0.3112887918,0.0076296273,,,,,,,,,,,,,,,,,
2024-04-19 20:59:00:000,0.29908138819999996,1.0,1000.0,0.0537125732,44.0,7.0,0.0,245.0,118.0,0.0,44.0,379.0,275.0,0.0,0.0534073911,0.3357035825,0.2929776864,0.29908138819999996,0.0076296273,1.18,0.7202368236335293,1.19,0.7263405255287286,0.42,30.396435438093015,5.0,1.0,0.0023267357610166073,32567.0,16.0,31680.0,0.03589066490530968,0.024128850549459457,0.0,0.0,1418936.5
