,Time,Motor,Brake,Distance,Safety,Door,Resv-1,Resv-2,Resv-3,Kurtosis,SAD,Var,Mean,FFT-Motor Freq,FFT-Motor Mag,E,P2P,Skewness,MAD,FFT-Resv1 Freq,CF,IF,FFT-Resv1 Mag,SF,FFT-Resv2 Freq,FFT-Resv2 Mag
103,2024-04-03 15:19:10:150,11730.0,903.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
104,2024-04-03 15:19:10:200,11730.0,902.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
105,2024-04-03 15:19:10:250,11730.0,902.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
106,2024-04-03 15:19:10:300,11730.0,901.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
107,2024-04-03 15:19:10:350,11730.0,901.0,0.0,1.0,5.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
108,2024-04-03 15:19:10:400,11730.0,901.0,0.0,1.0,6.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
109,2024-04-03 15:19:10:450,11730.0,901.0,0.0,1.0,6.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
110,2024-04-03 15:19:10:500,11730.0,900.0,0.0,1.0,6.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
111,2024-04-03 15:19:10:550,11730.0,900.0,0.0,1.0,6.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
112,2024-04-03 15:19:10:600,11730.0,900.0,0.0,1.0,5.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
113,2024-04-03 15:19:10:650,11730.0,899.0,0.0,1.0,5.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
114,2024-04-03 15:19:10:700,11730.0,899.0,0.0,1.0,4.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
115,2024-04-03 15:19:10:750,11730.0,899.0,0.0,1.0,4.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
116,2024-04-03 15:19:10:800,11730.0,898.0,0.0,1.0,3.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
117,2024-04-03 15:19:10:850,11730.0,898.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
118,2024-04-03 15:19:10:900,11730.0,898.0,0.0,1.0,2.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
119,2024-04-03 15:19:10:950,11730.0,898.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
120,2024-04-03 15:19:11:000,11730.0,897.0,0.0,1.0,2.0,11749.0,11742.0,1.0,2539.0,683.0,1855.0,1269.0,97.0,9998.0,0.0,0.0,0.0,0.0,97.0,683.0,1367.0,10013.0,0.0,97.0,10013.0
121,2024-04-03 15:19:11:050,11730.0,897.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
122,2024-04-03 15:19:11:100,11730.0,897.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
123,2024-04-03 15:19:11:150,11730.0,897.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
124,2024-04-03 15:19:11:200,11730.0,896.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
125,2024-04-03 15:19:11:250,11730.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
126,2024-04-03 15:19:11:300,11730.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
127,2024-04-03 15:19:11:350,11730.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
128,2024-04-03 15:19:11:400,11730.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
129,2024-04-03 15:19:11:450,11730.0,897.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
130,2024-04-03 15:19:11:500,11730.0,897.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
131,2024-04-03 15:19:11:550,11730.0,897.0,0.0,1.0,4.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
132,2024-04-03 15:19:11:600,11730.0,898.0,0.0,1.0,4.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
133,2024-04-03 15:19:11:650,11730.0,898.0,0.0,1.0,4.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
134,2024-04-03 15:19:11:700,11730.0,899.0,0.0,1.0,4.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
135,2024-04-03 15:19:11:750,11730.0,899.0,0.0,1.0,3.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
136,2024-04-03 15:19:11:800,11730.0,899.0,0.0,1.0,3.0,11748.0,11741.0,1.0,,,,,,,,,,,,,,,,,
137,2024-04-03 15:19:11:850,11730.0,900.0,0.0,1.0,3.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
138,2024-04-03 15:19:11:900,11730.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
139,2024-04-03 15:19:11:950,11730.0,901.0,0.0,1.0,3.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
140,2024-04-03 15:19:12:000,11730.0,901.0,0.0,1.0,2.0,11749.0,11742.0,1.0,3515.0,683.0,1855.0,1269.0,97.0,9998.0,0.0,0.0,0.0,0.0,97.0,683.0,1367.0,10013.0,0.0,97.0,10013.0
141,2024-04-03 15:19:12:050,11730.0,902.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
142,2024-04-03 15:19:12:100,11730.0,902.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
143,2024-04-03 15:19:12:150,11730.0,903.0,0.0,1.0,1.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
144,2024-04-03 15:19:12:200,11730.0,903.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
145,2024-04-03 15:19:12:250,11730.0,903.0,0.0,1.0,2.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
146,2024-04-03 15:19:12:300,11730.0,903.0,0.0,1.0,3.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
147,2024-04-03 15:19:12:350,11730.0,903.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
148,2024-04-03 15:19:12:400,11730.0,903.0,0.0,1.0,4.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
149,2024-04-03 15:19:12:450,11730.0,902.0,0.0,1.0,4.0,11748.0,11742.0,1.0,,,,,,,,,,,,,,,,,
150,2024-04-03 15:19:12:500,11730.0,902.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
151,2024-04-03 15:19:12:550,11730.0,901.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
152,2024-04-03 15:19:12:600,11730.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
153,2024-04-03 15:19:12:650,11730.0,901.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
154,2024-04-03 15:19:12:700,11730.0,901.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
155,2024-04-03 15:19:12:750,11730.0,900.0,0.0,1.0,6.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
156,2024-04-03 15:19:12:800,11730.0,900.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
157,2024-04-03 15:19:12:850,11731.0,899.0,0.0,1.0,5.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
158,2024-04-03 15:19:12:900,11730.0,899.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
159,2024-04-03 15:19:12:950,11731.0,899.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
160,2024-04-03 15:19:13:000,11731.0,898.0,0.0,1.0,3.0,11749.0,11743.0,1.0,3027.0,683.0,34179.0,1367.0,97.0,9998.0,0.0,0.0,0.0,0.0,97.0,683.0,1367.0,10014.0,0.0,97.0,10014.0
161,2024-04-03 15:19:13:050,11731.0,898.0,0.0,1.0,2.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
162,2024-04-03 15:19:13:100,11731.0,898.0,0.0,1.0,2.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
163,2024-04-03 15:19:13:150,11731.0,898.0,0.0,1.0,2.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
164,2024-04-03 15:19:13:200,11731.0,897.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
165,2024-04-03 15:19:13:250,11731.0,897.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
166,2024-04-03 15:19:13:300,11731.0,896.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
167,2024-04-03 15:19:13:350,11731.0,896.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
168,2024-04-03 15:19:13:400,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
169,2024-04-03 15:19:13:450,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
170,2024-04-03 15:19:13:500,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
171,2024-04-03 15:19:13:550,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
172,2024-04-03 15:19:13:600,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
173,2024-04-03 15:19:13:650,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
174,2024-04-03 15:19:13:700,11731.0,897.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
175,2024-04-03 15:19:13:750,11731.0,896.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
176,2024-04-03 15:19:13:800,11731.0,897.0,0.0,1.0,4.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
177,2024-04-03 15:19:13:850,11731.0,898.0,0.0,1.0,4.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
178,2024-04-03 15:19:13:900,11731.0,898.0,0.0,1.0,4.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
179,2024-04-03 15:19:13:950,11731.0,899.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
180,2024-04-03 15:19:14:000,11731.0,899.0,0.0,1.0,3.0,11749.0,11742.0,1.0,2636.0,683.0,36914.0,1269.0,97.0,9998.0,0.0,0.0,0.0,0.0,97.0,683.0,1269.0,10014.0,0.0,97.0,10014.0
181,2024-04-03 15:19:14:050,11731.0,900.0,0.0,1.0,3.0,11749.0,11743.0,1.0,,,,,,,,,,,,,,,,,
182,2024-04-03 15:19:14:100,11731.0,900.0,0.0,1.0,3.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
183,2024-04-03 15:19:14:150,11730.0,901.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
184,2024-04-03 15:19:14:200,11730.0,901.0,0.0,1.0,2.0,11749.0,11742.0,1.0,,,,,,,,,,,,,,,,,
